date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm,soil_moisture,soil_temp,et
2016-05-01,34,-1,1005.63,24,4,43,26,9,-10,1009,999,0,50,45,133
2016-05-02,36,4,1005.46,21,6,43,29,10,-2,1008,1001,0,62,39,130.8
2016-05-03,35,6,1006,27,5,41,29,12,-2,1009,1000,0,53,40,137.2
2016-05-04,34,7,1005.65,29,6,41,27,13,0,1008,1001,0,61,31,150.5
2016-05-05,31,11,1007.94,61,13,38,24,16,6,1011,1003,5,50,42,136.7
2016-05-06,28,13,1008.39,69,18,34,21,17,9,1011,1004,0,52,40,136.4
2016-05-07,30,10,1007.62,50,8,38,23,14,6,1010,1002,0,71,27,143.3
2016-05-08,34,8,1006.73,32,7,41,26,12,6,1010,1002,0,62,26,118.3
2016-05-09,34,11,1005.75,45,7,42,27,16,7,1008,1000,0.3,51,41,124.8
2016-05-10,34,16,1007.1,51,12,41,27,18,13,1010,1002,0.8,78,17,149
2016-05-11,32,16,1006.78,66,16,40,25,22,10,1011,1001,2,78,33,127.1
2016-05-12,34,13,1003.83,58,9,42,27,20,10,1007,998,0.3,79,20,153.8
2016-05-13,34,11,1003.56,40,9,42,26,16,7,1006,998,0,58,27,150.2
2016-05-14,35,13,1004.74,48,8,42,28,19,10,1007,1000,0,73,20,136.5
2016-05-15,36,12,1005.02,40,7,44,29,16,9,1008,1001,0,60,41,144
2016-05-16,36,13,1003.68,51,6,43,28,19,7,1006,999,3,62,16,147.5
2016-05-17,35,13,1001.58,42,8,44,26,16,10,1010,995,0,62,25,121.9
2016-05-18,36,11,999.88,45,5,45,27,17,6,1002,994,0,77,24,126.5
2016-05-19,38,6,998.96,33,4,46,29,13,-2,1002,994,0,66,45,144.5
2016-05-20,38,10,997.92,38,4,46,30,18,0,1001,992,0,64,27,139.4
2016-05-21,38,12,998.41,30,6,45,32,17,3,1001,992,0,56,40,130.7
2016-05-22,38,16,999.88,46,10,44,31,21,8,1003,995,0,72,29,138.4
2016-05-23,34,18,1001.13,69,18,42,25,21,15,1006,994,0.5,78,32,130.2
2016-05-24,32,16,1002.15,74,14,40,23,20,12,1005,996,0,73,28,150.3
2016-05-25,34,17,1000.02,51,16,40,28,20,15,1003,994,0,71,22,121.9
2016-05-26,34,16,1001.7,46,14,40,28,19,13,1004,997,0,57,22,146.7
2016-05-27,36,13,1003.43,40,7,42,30,18,7,1006,998,0,62,22,153.5
2016-05-28,35,16,1003.17,46,15,40,30,20,13,1009,997,0,54,31,155.7
2016-05-29,33,16,1002.18,48,16,41,25,18,13,1005,996,0,54,24,128.6
2016-05-30,32,17,1003.67,58,21,37,26,20,8,1007,999,0,63,39,129.4
2016-05-31,34,16,1005.08,52,12,41,28,20,10,1008,999,0,50,22,151.3
2016-06-01,35,13,1005.44,42,10,42,28,18,8,1009,999,0,52,26,118
2016-06-02,36,13,1004.8,38,10,42,30,18,9,1009,999,0,58,45,144.7
2016-06-03,38,13,1004.93,34,10,43,32,18,7,1008,999,0,61,45,137.6
2016-06-04,38,5,1004.67,27,4,44,31,18,2,1007,999,0,80,22,120.1
2016-06-05,38,6,1003.88,27,4,45,31,16,0,1007,998,0,59,44,145.6
2016-06-06,36,13,1003.29,51,5,44,27,21,5,1007,997,0,58,34,140.2
2016-06-07,38,12,1002.83,47,4,45,30,22,2,1006,996,0,52,27,134.2
2016-06-08,38,12,1001.24,43,7,44,31,19,8,1004,994,0,65,26,138.8
2016-06-09,36,12,1000.57,34,6,44,29,17,6,1003,994,0,65,25,154
2016-06-10,37,15,1000.6,41,11,43,31,21,12,1003,994,0,75,38,152.9
2016-06-11,34,18,1001.62,62,16,41,27,22,13,1004,994,0,79,26,129.4
2016-06-12,34,18,1001.2,58,23,41,27,21,15,1004,996,0,75,15,126.5
2016-06-13,35,19,1001.42,58,17,40,30,26,14,1004,995,0,51,40,130.9
2016-06-14,34,18,1000.63,49,18,39,29,24,16,1004,994,0,57,39,141.8
2016-06-15,34,18,998.76,52,16,39,30,22,15,1002,993,0,73,30,133.9
2016-06-16,35,17,999.57,46,21,40,30,20,13,1003,994,0,54,42,124.1
2016-06-17,36,17,1000.55,41,15,42,31,21,13,1003,994,0,68,31,153.2
2016-06-18,36,19,1001.7,46,15,42,30,22,15,1004,995,0,57,15,118
2016-06-19,35,20,1002.2,52,17,41,29,23,16,1005,996,0,80,27,125.5
2016-06-20,35,21,1001.2,66,21,41,29,23,17,1004,994,0,78,15,151.1
2016-06-21,34,22,1001.45,89,27,40,27,25,20,1003,999,3,76,29,117.5
2016-06-22,32,23,1003,84,31,37,27,25,20,1006,998,0,59,23,130.1
2016-06-23,34,23,1002.88,79,27,40,27,25,19,1007,996,0,68,25,133.6
2016-06-24,34,21,1001.19,62,24,40,28,23,18,1004,995,0,79,21,131.5
2016-06-25,34,21,1002.21,62,24,40,29,23,20,1005,998,2,77,42,129.8
2016-06-26,34,21,1001.93,66,30,39,29,25,18,1005,995,0.2,78,37,143.4
2016-06-27,34,23,1001.27,84,35,39,29,26,21,1003,997,4,64,34,151.9
2016-06-28,30,25,1002.41,94,45,35,25,26,23,1005,998,0,52,38,136.5
2016-06-29,32,24,1002.48,84,32,39,26,26,21,1005,996,0,52,17,136.6
2016-06-30,36,23,1000.22,62,22,42,30,26,19,1003,994,0,68,32,127.2
2016-07-01,28,25,999.43,100,55,33,24,27,23,1003,994,6,54,17,132.4
2016-07-02,26,25,999.87,100,66,31,22,26,23,1001,997,0,74,43,138.9
2016-07-03,28,25,1000.04,100,60,31,24,26,24,1007,996,0,78,23,142.8
2016-07-04,30,23,999.3,94,36,36,25,26,21,1001,994,0,50,44,145.5
2016-07-05,32,24,998.43,82,36,37,27,26,22,1001,993,0,52,44,152.4
2016-07-06,34,23,998.86,70,33,38,29,26,22,1002,994,0,74,31,143
2016-07-07,33,22,999.96,73,31,38,28,26,21,1002,995,0,63,35,141
2016-07-08,33,23,999.45,76,40,38,28,25,21,1002,994,0,54,17,141.7
2016-07-09,32,24,998.33,89,35,38,26,25,22,1000,994,0.7,75,24,150.1
2016-07-10,31,24,998.09,94,37,37,25,26,21,1000,993,16,70,36,140.2
2016-07-11,29,24,999.24,89,40,35,23,25,22,1001,995,0.2,61,44,125.3
2016-07-12,28,25,1000.34,94,66,31,26,27,23,1003,996,5,50,30,122.1
2016-07-13,30,26,1000.26,89,56,34,26,26,24,1002,996,0,69,34,136.9
2016-07-14,30,26,1000.84,91,60,33,26,26,25,1003,997,0.6,50,33,146.5
2016-07-15,26,26,1001.66,100,51,28,25,27,15,1003,999,23,61,40,139.9
2016-07-16,26,26,1002.31,100,82,28,24,27,24,1005,998,51,64,34,127.6
2016-07-17,27,25,1003.93,100,69,31,23,26,23,1006,1001,0,80,18,140.8
2016-07-18,28,25,1003.69,100,49,34,23,26,23,1006,999,0,60,35,134.5
2016-07-19,30,24,1003.27,84,42,35,25,25,23,1006,999,0,53,36,127.8
2016-07-20,30,23,1003.05,84,36,36,25,24,21,1006,998,0,66,38,128.6
2016-07-21,32,22,1002.77,74,34,37,26,23,20,1005,997,0,52,43,131.9
2016-07-22,32,22,1001.84,74,34,36,27,23,21,1004,997,0,70,26,150.7
2016-07-23,32,23,1002.64,74,39,36,27,24,20,1005,999,0,71,24,141.1
2016-07-24,30,24,1004.37,89,52,34,27,26,22,1006,1000,0,57,45,121.9
2016-07-25,30,24,1004.21,89,43,35,26,25,22,1006,1001,0,64,27,137.1
2016-07-26,30,24,1004.4,89,50,35,26,25,23,1007,1000,0,66,42,146.5
2016-07-27,27,25,1005.23,94,69,30,24,27,23,1007,1002,6,71,25,145.4
2016-07-28,28,25,1003.98,100,66,32,24,26,24,1006,1001,36,56,20,143.1
2016-07-29,27,25,1002.77,100,66,31,23,27,24,1005,999,21,80,43,141.9
2016-07-30,28,25,1002.82,100,59,32,23,26,25,1005,999,9,74,31,141.9
2016-07-31,28,26,1002.3,100,55,33,24,26,24,1005,999,0,68,29,135.2
2016-08-01,28,25,1000.5,94,68,32,24,26,24,1003,997,9,51,36,131.1
2016-08-02,26,25,998.93,100,84,27,24,27,24,1001,995,35,52,25,119.2
2016-08-03,28,25,999.11,100,57,32,23,28,24,1002,995,16,50,38,150.5
2016-08-04,27,26,999.88,100,74,30,24,27,25,1002,996,15,58,44,127.7
2016-08-05,28,26,1000.86,94,65,32,24,27,25,1003,996,0,63,29,118.6
2016-08-06,30,26,1000.87,89,38,33,26,27,16,1003,997,0,54,24,154.7
2016-08-07,29,26,1001.42,94,56,33,25,27,25,1004,997,0,60,44,128.5
2016-08-08,28,26,1001.07,100,66,31,25,27,25,1003,997,23,68,40,131.9
2016-08-09,28,26,999.4,96,65,32,24,27,25,1002,995,2,52,15,133.3
2016-08-10,26,25,1000.64,100,28,29,24,26,6,1003,998,26,58,18,131.3
2016-08-11,25,25,1003.11,100,88,27,23,26,24,1006,1000,5,51,37,121.5
2016-08-12,26,25,1004.53,100,63,31,22,26,23,1010,1001,0,69,27,151.8
2016-08-13,28,25,1003.62,100,63,32,24,26,24,1006,1000,0,80,19,136.6
2016-08-14,28,25,1003.22,100,60,32,23,25,24,1005,999,0,57,42,121.5
2016-08-15,28,23,1002.53,89,47,32,24,25,22,1004,999,0,78,27,118
2016-08-16,27,23,1000.88,94,44,32,22,24,21,1003,997,0,54,28,143.2
2016-08-17,28,23,1001.42,89,54,32,23,25,22,1004,997,2,58,23,133.4
2016-08-18,26,24,1002.27,94,69,30,23,25,22,1005,999,2,77,43,117.8
2016-08-19,28,25,1001.45,89,63,32,24,26,23,1004,997,0.2,68,39,146.4
2016-08-20,28,24,1000.19,94,58,30,25,26,23,1002,996,0.1,71,19,134.2
2016-08-21,24,23,1001.04,100,78,25,22,24,22,1003,998,0.8,65,23,144.1
2016-08-22,26,25,1003.27,100,70,29,22,26,24,1005,1000,0.3,71,33,147.3
2016-08-23,26,25,1004.14,100,61,29,24,26,23,1013,1000,7,52,41,141.4
2016-08-24,26,25,1002.41,100,81,28,23,26,24,1005,999,14,61,20,133.3
2016-08-25,27,25,1005.87,100,60,31,23,26,23,1008,1002,0,59,20,138.9
2016-08-26,31,24,1006.63,94,36,39,23,26,23,1009,1003,0,63,39,145.5
2016-08-27,28,25,1007.15,94,57,32,25,27,23,1010,1003,0,58,39,143.6
2016-08-28,26,25,1007.44,100,70,30,21,27,23,1010,1003,18,54,32,122.3
2016-08-29,28,25,1005.08,100,57,33,23,26,24,1007,1000,0,51,20,133.1
2016-08-30,28,25,1003.73,100,70,33,24,27,24,1006,1000,4,55,33,126.9
2016-08-31,30,25,1003.96,100,55,34,25,27,22,1006,999,8,75,39,143.4
2016-09-01,26,24,1004.58,100,73,30,23,26,22,1007,1001,0.8,56,27,144
2016-09-02,28,24,1003.95,97,40,33,24,25,20,1006,1000,0,80,45,136.7
2016-09-03,28,23,1004,94,50,33,23,25,21,1006,1000,0,62,21,128.7
2016-09-04,27,22,1006.34,89,29,32,22,23,16,1009,1003,0,75,24,151
2016-09-05,28,21,1007,89,45,32,23,22,20,1009,1003,0,80,37,136.6
2016-09-06,28,21,1007.47,83,42,32,23,22,19,1010,1004,0,69,32,152.4
2016-09-07,28,21,1006.89,83,41,33,23,22,20,1009,1003,0,66,35,128.1
2016-09-08,29,21,1007.97,83,41,34,24,22,21,1010,1005,0,55,34,151
2016-09-09,28,20,1009.06,74,35,34,23,22,18,1012,1004,0,75,30,143
2016-09-10,28,20,1008.09,78,38,34,23,21,19,1011,1004,0,64,28,141.1
2016-09-11,29,20,1007.07,74,37,34,24,21,19,1009,1003,0,55,16,132.1
2016-09-12,28,20,1007.23,79,33,34,22,21,18,1009,1003,0,65,40,130.2
2016-09-13,30,20,1008.54,69,31,35,25,22,19,1011,1004,0,71,23,151.8
2016-09-14,28,21,1008.51,82,38,34,23,23,19,1011,1004,0,58,37,119.3
2016-09-15,30,21,1007.28,78,32,35,24,24,18,1010,1002,0,78,39,120
2016-09-16,30,19,1006.26,70,22,36,24,23,16,1010,1001,0,57,33,147.4
2016-09-17,30,19,1005.32,73,20,37,22,22,14,1008,1000,0,57,36,132.1
2016-09-18,30,20,1006.23,78,23,36,23,23,17,1009,1002,0,57,27,131.5
2016-09-19,30,20,1005.76,78,24,37,24,23,16,1008,1001,0,68,18,144.3
2016-09-20,32,20,1004.84,79,17,37,26,24,10,1007,999,0,68,17,147.3
2016-09-21,32,20,1006.52,66,20,38,26,23,16,1009,1001,0,61,35,155
2016-09-22,30,22,1008.43,78,33,36,24,24,18,1011,1001,0,70,37,150
2016-09-23,28,21,1006.43,83,36,34,22,23,18,1009,1001,57,73,39,125.6
2016-09-24,26,21,1005.24,94,46,34,19,25,17,1008,1001,0,57,40,129.1
2016-09-25,28,22,1006.38,89,38,33,22,23,18,1009,1002,0,77,38,149.2
2016-09-26,28,21,1007.69,83,34,34,22,23,19,1010,1004,0,64,31,154
2016-09-27,30,20,1008.02,83,25,36,23,23,16,1011,1003,0,72,28,122.6
2016-09-28,30,18,1006.98,74,22,36,25,22,14,1010,1002,0,67,28,118.7
2016-09-29,30,18,1006.79,66,17,36,24,21,7,1009,1002,0,68,30,118
2016-09-30,30,20,1007.09,78,4,35,24,22,-22,1009,1002,0,58,33,130.6
2016-10-01,30,22,1008.35,74,34,35,25,23,21,1011,1004,0,71,18,139.9
2016-10-02,31,23,1010,79,42,36,26,24,21,1013,1005,0,55,39,150.3
2016-10-03,31,23,1008.69,84,35,36,26,26,21,1012,1003,2,76,29,135.9
2016-10-04,30,22,1006.96,83,32,36,25,24,20,1009,1002,0,62,21,151.7
2016-10-05,27,23,1006.93,100,47,31,23,24,21,1009,1000,13,67,29,121.7
2016-10-06,26,24,1008.74,100,58,31,22,25,21,1011,1006,0.9,72,21,123
2016-10-07,28,23,1009.2,100,40,34,22,26,20,1012,1003,0,56,38,136.9
2016-10-08,28,20,1008.78,94,21,35,22,25,14,1012,1004,0,56,18,149.7
2016-10-09,30,17,1007.68,74,21,35,24,22,9,1011,1003,0,62,45,148.8
2016-10-10,28,16,1008.31,69,27,34,22,20,10,1011,1004,0,78,22,153.6
2016-10-11,28,14,1008.88,73,13,35,21,20,6,1011,1005,0,56,35,138.5
2016-10-12,28,11,1008.9,57,11,34,22,17,5,1011,1005,0,67,23,149.2
2016-10-13,28,13,1010.86,57,18,34,22,17,8,1014,1007,0,51,35,138.5
2016-10-14,28,12,1011.36,48,15,34,23,15,9,1014,1000,0,50,18,145.5
2016-10-15,28,9,1012.19,61,6,35,20,15,1,1015,1008,0,65,41,123.2
2016-10-16,27,10,1013.15,62,12,35,19,16,6,1016,1001,0,65,27,122.9
2016-10-17,26,10,1012.3,57,11,34,19,16,6,1015,1008,0,73,33,124
2016-10-18,26,7,1011.33,57,8,35,18,14,4,1014,1007,0,57,45,131.5
2016-10-19,28,8,1010.4,49,10,35,20,11,5,1013,1006,0,50,36,143.9
2016-10-20,28,8,1009.43,38,10,34,22,9,6,1012,1006,0,76,15,154.2
2016-10-21,28,9,1010.65,47,12,34,21,12,5,1013,1007,0,71,26,144.4
2016-10-22,28,10,1011.64,47,15,34,21,15,8,1015,1008,0,58,41,135.1
2016-10-23,28,10,1011.44,53,14,34,21,13,7,1014,1007,0,71,24,130.6
2016-10-24,27,11,1010.78,47,14,33,21,13,9,1014,1007,0,63,39,154.5
2016-10-25,27,11,1010.9,50,18,33,21,13,9,1014,1002,0,58,23,135
2016-10-26,28,10,1013.2,53,13,34,21,16,5,1016,1009,0,71,16,119.1
2016-10-27,26,4,1015.66,43,6,34,17,11,-3,1019,1002,0,55,40,123.7
2016-10-28,24,5,1014.43,50,5,33,16,15,-4,1017,1010,0,58,41,129.4
2016-10-29,24,5,1013.59,77,6,34,15,13,-1,1016,1010,0,80,34,133.3
2016-10-30,24,5,1015.54,50,6,34,15,11,-1,1018,1012,0,54,34,139.1
2016-10-31,24,7,1017.94,49,16,32,15,11,3,1021,1002,0,57,42,153.4
2016-11-01,24,8,1017.56,63,13,31,17,13,3,1020,1014,0,67,27,129.6
2016-11-02,22,9,1017.16,59,17,30,14,12,5,1020,1014,0,61,15,153.8
2016-11-03,22,10,1017.35,72,14,30,14,14,7,1020,1014,0,59,43,123.7
2016-11-04,23,9,1014.39,64,14,31,15,14,6,1017,1010,0,80,41,138.5
2016-11-05,22,6,1012.07,68,8,31,14,13,0,1015,1008,0,60,24,125.4
2016-11-06,23,3,1012.68,59,7,33,13,9,-3,1015,1009,0,54,24,155.5
2016-11-07,24,2,1014.56,37,9,31,17,5,-1,1017,1011,0,51,31,119
2016-11-08,22,4,1015.83,67,8,31,13,10,-5,1018,1012,0,61,21,138.5
2016-11-09,22,2,1016.26,45,6,32,12,6,-3,1019,1013,0,79,24,147.1
2016-11-10,24,3,1015.07,49,7,32,16,7,-3,1018,1011,0,67,27,151.8
2016-11-11,24,4,1014.72,49,13,32,15,10,-1,1017,1011,0,79,30,155.1
2016-11-12,22,5,1015.83,48,10,31,14,10,2,1018,1013,0,78,38,127.4
2016-11-13,22,6,1017.25,52,10,30,14,11,3,1020,1014,0,77,39,138.5
2016-11-14,22,6,1016.8,55,10,30,13,10,1,1019,1014,0,66,15,141.8
2016-11-15,20,6,1016.76,63,12,28,12,11,1,1019,1014,0,52,32,141.6
2016-11-16,20,6,1018.41,59,14,29,12,10,4,1021,1016,0,60,28,151.4
2016-11-17,20,5,1018.46,63,12,29,12,11,2,1022,1015,0,59,21,120.8
2016-11-18,20,4,1016.47,72,8,30,11,11,-1,1020,1013,0,79,16,139.8
2016-11-19,20,3,1014,55,10,30,11,9,-2,1017,1010,0,74,43,147.8
2016-11-20,21,4,1014.34,63,9,31,11,9,-1,1017,1011,0,66,43,137.7
2016-11-21,22,5,1015.13,63,7,31,12,11,-1,1018,1012,0,59,16,126
2016-11-22,21,6,1014.61,67,13,30,12,10,2,1018,1011,0,72,30,147.3
2016-11-23,22,5,1014.49,52,14,30,13,10,2,1017,1011,0,62,21,131.4
2016-11-24,22,6,1016.5,67,13,31,12,12,0,1019,1013,0,75,22,149.4
2016-11-25,20,4,1015.93,69,7,29,12,11,-2,1019,1012,0,69,32,124.6
2016-11-26,23,3,1015.43,35,9,30,16,7,0,1018,1012,0,72,43,133.2
2016-11-27,24,4,1015.84,46,13,30,17,7,2,1019,1012,0,75,45,135.9
2016-11-28,22,4,1015.18,55,8,30,14,10,0,1018,1011,0,68,23,153.8
2016-11-29,22,6,1015.84,67,9,31,12,11,1,1018,1012,0,62,42,142.2
2016-11-30,20,7,1016.88,63,16,29,12,10,1,1020,1014,0,57,31,126.3
2016-12-01,20,10,1017.07,68,26,28,12,13,7,1020,1014,0,75,40,140
2016-12-02,22,10,1018.3,74,18,28,16,15,6,1021,1016,0,77,44,121
2016-12-03,19,5,1020.31,82,8,27,11,12,-2,1023,1018,0,60,19,137.4
2016-12-04,18,5,1020.79,62,21,27,10,9,1,1024,1018,0,54,23,119.9
2016-12-05,19,6,1018.63,67,14,27,11,10,3,1021,1015,0,73,19,144.7
2016-12-06,20,6,1018.6,77,10,29,11,11,2,1021,1016,0,69,42,132.1
2016-12-07,20,7,1017.9,77,10,29,11,13,1,1020,1014,0,65,39,142.1
2016-12-08,20,10,1016.54,94,20,29,11,14,4,1019,1013,0,59,36,146.1
2016-12-09,20,10,1014.73,94,21,29,11,15,4,1017,1011,0,60,31,148.6
